Distance to Niagara Falls (miles),Average Pleasure Trip Distance,Disposible Income,Popular Vote,Work Force Participation %,Median Temperature,Urban Population %,Sales Tax %,Median Income,Population,Median Cost of Advertising - CPC compared to US average,Cost of Living Index,Travel Income (Billions),State
2300,9.318304,58565,50.6,62.717,51.1,0.941,8.24,66274.0,3210930,-27,105.5,65.8,Nevada
500,12.39746,69821,48.1,65.058,44.2,0.583,0.0,88465.0,1405100,-28,114.7,5.1,New Hampshire
400,15.43735,71166,46.1,64.925,53.6,0.938,6.6,89296.0,9320860,-11,114.0,24.6,New Jersey
1800,12.80131,49969,45.9,57.242,54.5,0.745,7.62,53992.0,2115270,-25,91.1,7.4,New Mexico
400,11.13649,68435,44.1,61.15,46.1,0.874,8.53,74314.0,19469200,-23,134.5,69.5,New York
700,13.30077,54995,51.0,61.017,59.6,0.667,7.0,61972.0,10975000,9,94.9,29.7,North Carolina
1200,11.87729,65240,30.8,69.2,41.1,0.61,7.04,66519.0,788940,24,98.2,3.1,North Dakota
350,10.64753,54915,55.2,61.842,51.8,0.763,7.24,62262.0,11812200,21,90.8,25.4,Ohio
1200,16.41715,55465,66.2,62.933,60.4,0.646,8.99,55826.0,4088380,8,85.7,9.6,Oklahoma
2600,11.20272,58633,41.4,62.358,48.0,0.805,0.0,71562.0,4227340,0,122.2,9.2,Oregon
400,11.93343,60812,50.4,62.192,49.6,0.765,6.34,68957.0,12951300,6,102.5,43.3,Pennsylvania
500,9.602871,59820,42.1,63.592,50.8,0.911,7.0,74008.0,1098080,-42,110.6,2.5,Rhode Island
850,14.06681,51274,58.2,57.383,63.4,0.679,7.5,59318.0,5464160,-1,95.9,23.8,South Carolina
1100,16.96863,66607,63.4,68.208,45.8,0.572,6.11,66143.0,928767,-65,99.8,3.9,South Dakota
650,15.61725,56938,64.2,59.833,58.5,0.662,9.55,59695.0,7204000,-8,89.5,23.3,Tennessee
1500,13.90337,60147,56.3,64.492,65.8,0.837,8.2,66963.0,30976800,19,92.1,83.0,Texas
1900,11.00853,56039,59.4,69.5,49.3,0.898,7.25,79449.0,3454230,-28,98.4,10.1,Utah
400,11.12162,59456,32.6,64.683,43.2,0.351,6.36,72431.0,647818,3,115.0,2.8,Vermont
600,14.93492,64506,46.6,66.367,56.1,0.756,5.77,80963.0,8752300,-5,100.1,27.4,Virginia
2700,14.76082,71225,39.2,64.325,47.4,0.834,9.38,84247.0,7841280,27,111.6,21.5,Washington
400,9.204881,48076,70.0,54.908,52.7,0.446,6.57,51248.0,1766110,60,90.5,4.3,West Virginia
550,13.55521,57829,49.7,65.833,44.0,0.671,5.7,67125.0,5931370,0,94.6,20.9,Wisconsin
1500,14.72875,72699,72.3,63.933,42.3,0.62,5.44,65204.0,586485,-38,91.8,3.6,Wyoming
